NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_MELANOCYTE_DIFFERENTIATION	GOBP_MELANOCYTE_DIFFERENTIATION	Details ...	26	0.5796692	1.8150021	0.0063795852	0.010014851	0.015	4992	tags=65%, list=27%, signal=90%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	227	0.30891934	1.4121093	0.011392405	0.3041145	0.612	5610	tags=39%, list=31%, signal=56%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	231	0.29639786	1.3661479	0.013836478	0.30841497	0.752	5546	tags=43%, list=30%, signal=61%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	44	0.37259164	1.3401076	0.0862866	0.28842255	0.825	2908	tags=25%, list=16%, signal=30%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	210	0.28257495	1.2875755	0.0436457	0.36273	0.936	5546	tags=43%, list=30%, signal=62%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	180	0.280772	1.2444413	0.08299866	0.424675	0.983	3776	tags=28%, list=21%, signal=35%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	35	0.3492956	1.1813822	0.25080386	0.5886516	0.999	1976	tags=20%, list=11%, signal=22%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	58	0.30905545	1.1641694	0.22322775	0.58296084	1.0	3447	tags=28%, list=19%, signal=34%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	51	0.31835476	1.1469643	0.2576	0.58462894	1.0	5595	tags=45%, list=31%, signal=65%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	210	0.24752587	1.1213113	0.22060767	0.62015045	1.0	2645	tags=18%, list=15%, signal=21%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	144	0.2600202	1.117782	0.24386922	0.57680064	1.0	3362	tags=22%, list=18%, signal=27%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	192	0.24717607	1.1121235	0.23907454	0.5472327	1.0	6352	tags=39%, list=35%, signal=59%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	186	0.2419731	1.083241	0.29907772	0.6000626	1.0	4607	tags=30%, list=25%, signal=40%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	226	0.23483972	1.07219	0.2981771	0.59385765	1.0	2740	tags=19%, list=15%, signal=22%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	219	0.22987092	1.0606904	0.31201044	0.58790016	1.0	2645	tags=17%, list=15%, signal=20%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	225	0.22410901	1.0350376	0.375	0.6283895	1.0	4753	tags=28%, list=26%, signal=37%	
REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP	REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP	Details ...	65	0.25784096	0.98482203	0.5030581	0.75454247	1.0	4093	tags=29%, list=22%, signal=38%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	56	0.26390192	0.9752276	0.47138554	0.7436448	1.0	4167	tags=25%, list=23%, signal=32%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	109	0.23395483	0.96940535	0.52682257	0.7227971	1.0	2244	tags=17%, list=12%, signal=19%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	237	0.19836372	0.9186543	0.6579602	0.83018124	1.0	3004	tags=16%, list=16%, signal=19%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS		220	0.17998643	0.82907003	0.8757764	1.0	1.0	5677	tags=29%, list=31%, signal=41%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING		37	0.2339179	0.80095804	0.7824074	1.0	1.0	2076	tags=16%, list=11%, signal=18%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION		101	0.19412148	0.80069584	0.85754585	0.9906449	1.0	5365	tags=31%, list=29%, signal=43%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM		209	0.17549813	0.797458	0.9220945	0.95430464	1.0	2459	tags=14%, list=13%, signal=16%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION		219	0.16109274	0.7348379	0.9757033	0.98957074	1.0	7053	tags=42%, list=39%, signal=67%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING		117	0.16561688	0.70132387	0.9709945	0.9712968	1.0	5725	tags=31%, list=31%, signal=45%	
